image_id,label
24,0
30,0
31,0
33,0
45,0
50,0
52,0
60,0
66,0
68,0
70,0
71,0
72,0
74,1
77,0
79,0
100,0
110,0
112,0
116,1
124,0
125,0
136,0
142,0
163,0
169,0
171,0
174,0
176,0
185,0
186,0
189,0
197,0
204,0
211,0
213,0
221,0
234,0
238,0
240,0
241,0
245,0
248,0
251,0
252,0
255,0
260,0
262,0
271,0
272,0
276,0
290,0
298,0
299,0
301,0
304,0
317,0
323,0
325,0
332,0
333,0
340,0
343,0
345,0
351,0
352,0
353,0
355,0
366,0
367,0
368,0
372,0
375,0
382,0
383,0
384,0
395,0
399,0
409,0
414,0
415,0
416,0
417,0
421,0
426,0
427,0
428,0
433,0
434,0
440,0
451,0
454,0
463,0
465,0
472,0
479,0
480,0
483,0
484,0
486,0
487,0
495,0
498,0
507,0
515,0
527,0
528,0
530,0
531,0
533,0
535,0
539,0
544,0
549,0
555,0
556,0
558,0
562,0
571,0
577,0
583,0
586,0
590,0
591,0
592,0
594,0
599,0
600,0
608,0
611,0
615,0
619,0
620,0
629,0
632,0
638,0
652,0
661,0
670,0
678,0
680,0
695,0
701,0
708,0
711,0
731,0
742,0
744,0
755,0
756,0
757,0
766,0
773,0
775,0
778,0
786,0
814,0
817,0
820,0
821,0
830,0
835,0
839,0
847,0
863,0
866,0
868,0
874,0
880,0
882,0
887,0
889,0
890,0
901,0
910,0
911,0
915,0
917,0
924,0
926,0
931,0
933,0
937,0
940,0
943,0
949,1
951,1
953,1
964,0
965,0
974,1
979,0
980,0
985,0
988,0
995,0
1000,1
1001,0
1010,0
1024,0
1027,0
1028,0
1031,1
1034,1
1042,0
1044,0
1050,0
1051,0
1054,0
1058,0
1069,0
1074,0
1081,0
1091,1
1092,0
1102,1
1108,0
1109,0
1111,0
1112,0
1114,0
1115,1
1122,0
1125,0
1129,0
1134,0
1139,0
1141,0
1145,1
1150,0
1152,0
1162,1
1170,0
1182,1
1183,0
1189,0
1193,0
1202,0
1205,0
1206,0
1209,0
1210,0
1224,0
1226,1
1233,0
1236,1
1237,0
1238,1
1245,0
1253,0
1254,0
1256,0
1262,0
1269,1
1270,0
1272,0
1277,1
1278,0
1279,1
1282,0
1289,0
1290,0
1306,1
1316,0
1318,0
1320,1
1336,0
1337,0
1342,1
1343,1
1344,1
1345,0
1346,0
1349,0
1353,0
1358,0
1360,0
1366,0
1376,1
1377,0
1380,1
1381,0
1384,0
1388,1
1393,0
1396,0
1405,1
1418,0
1423,0
1432,0
1433,0
1441,0
1442,1
1450,0
1453,0
1454,0
1455,0
1461,0
1462,0
1469,0
1472,0
1474,0
1488,0
1492,0
1512,1
1524,1
1527,1
1533,0
1541,1
1548,0
1558,1
1561,0
1565,0
1579,0
1584,1
1610,0
1614,0
1615,0
1616,0
1625,1
1627,1
1636,1
1638,0
1641,1
1651,0
1653,0
1658,0
1659,0
1660,0
1664,1
1666,0
1679,0
1696,0
1698,0
1701,0
1703,0
1704,0
1709,0
1711,1
1712,0
1714,0
1716,0
1719,0
1720,1
1721,0
1730,0
1736,0
1738,0
1741,0
1744,0
1753,0
1755,0
1766,0
1768,0
1770,0
1777,0
